j,i,d,r
Ecosistemas,1132-6344,3-Apr-17,Journal not adhering to Best practice
MatÃ¨ria. Revista internacional d'Art: Plantejaments i nous horitzons de recerca,1579-2641,3-Apr-17,24 months embargo 
Interdisciplinaria,0325-8203,3-Apr-17,Journal not adhering to Best practice
Intersecciones en AntropologÃ_a,1666-2105,3-Apr-17,Journal not adhering to Best practice
Revista Venezolana de Gerencia,1315-9984,3-Apr-17,Journal not adhering to Best practice
"Psychology, Society & Education",2171-2085,3-Apr-17,Journal not adhering to Best practice
Deutsches Ã„rzteblatt,0012-1207,3-Apr-17,Journal not adhering to Best practice
TechnikfolgenabschÃ_tzung - Theorie und Praxis,1619-7623,3-Apr-17,Journal not adhering to Best practice
Perspektive Bibliothek,2194-8992,3-Apr-17,Journal not adhering to Best practice
SÃ_dosteuropÃ_ische Hefte,2194-3710,3-Apr-17,Inactive (has not published in the last calendar year)
E-Journal Philosophie der Psychologie,1813-7784,3-Apr-17,Journal not adhering to Best practice
International Journal of Advanced Corporate Learning (iJAC),1867-5565,3-Apr-17,requires user registration to access PDFs
Journal of Virtual Reality and Broadcasting,1860-2037,3-Apr-17,Not enough articles published
IABLIS : Jahrbuch fÃ_r EuropÃ_ische Prozesse,1610-6261,3-Apr-17,Journal not adhering to Best practice
Meta-Carto-Semiotics,1868-1387,3-Apr-17,Journal not adhering to Best practice
International Journal of Internet Science,1662-5544,3-Apr-17,Not enough articles published
Stuttgarter BeitrÃ_ge zur Naturkunde A (Biologie),0341-0145,3-Apr-17,No license
Psychological Test and Assessment Modeling,2190-0493,3-Apr-17,No license
Journal fÃ_r Generationengerechtigkeit,1617-1799,3-Apr-17,Inactive (has not published in the last calendar year)
Austrian Studies in Social Anthropology,1815-3704,3-Apr-17,Inactive (has not published in the last calendar year)
Theo-Web : Zeitschrift fÃ_r ReligionspÃ_dagogik,1863-0502,3-Apr-17,No license
Empirische SonderpÃ_dagogik,1869-4845,3-Apr-17,Journal not adhering to Best practice
Social Transformations in Contemporary Society,2345-0126,2-Apr-17,Journal not adhering to Best practice
Pedagogika,1392-0340,1-Apr-17,Journal not adhering to Best practice
Cognitio Juris: Revista JurÃ_dica,2236-3009,31-Mar-17,Journal not adhering to Best practice
Perspectiva Educacional FormaciÃ_n de Profesores,0718-9729ï»¿,31-Mar-17,Journal not adhering to Best practice
Revista de FinanÃ§as Aplicadas,2176-8854,31-Mar-17,Journal not adhering to Best practice
InternexT: Revista EletrÃ´nica de NegÃ_cios Internacionais da ESPM,1980-4865,31-Mar-17,Journal not adhering to Best practice
SocÃ¬alÊ_no-ekonomÃ¬ÄçnÃ¬ ProblemÃ¬ Ã¬ DerÅ_ava,2223-3822,29-Mar-17,Journal ceased
Terra,1012-7089,29-Mar-17,Journal not adhering to Best practice
Journal Safety Promotion and Injury Prevention,2345-2455,29-Mar-17,Invalid contact information
Juridica International (Tartu),1406-1082,29-Mar-17,Journal not adhering to Best practice
Contextus,1678-2089,28-Mar-17,Journal not adhering to Best practice
Journal of Physics: Conference Series,1742-6596,28-Mar-17,Journal not adhering to Best practice
IOP Conference Series: Materials Science and Engineering,1757-899X,28-Mar-17,Journal not adhering to Best practice
IOP Conference Series : Earth and Environmental Science ,1755-1315,20-Feb-17,Journal not adhering to Best practice
Balcanica,0350-7653,26-Mar-17,Journal not adhering to Best practice
ANZIAM Journal : Electronic Supplement,1445-8810,25-Mar-17,Journal not adhering to Best practice
Human IT: Tidskrift fÃ¶r Studier av IT ur ett Humanvetenskapligt Perspektiv,1402-1501,25-Mar-17,Journal not adhering to Best practice
Business and Economics Research Journal ,1309-2448,25-Mar-17,Journal not adhering to Best practice
Revista Brasileira de Farmacognosia,0102-695X,25-Mar-17,Journal not adhering to Best practice
Psicologia ClÃ_nica,0103-5665,25-Mar-17,Journal not adhering to Best practice
Brazilian Journal of Infectious Diseases,1413-8670,25-Mar-17,Journal not adhering to Best practice
Revista ComunicaÃ§Ã£o MidiÃ¡tica,2236-8000,25-Mar-17,Journal not adhering to Best practice
Pensando : Revista de Filosofia,2178-843X,25-Mar-17,Journal not adhering to Best practice
McNair Scholars Research Journal,2166-109X,25-Mar-17,Journal not adhering to Best practice
Suicidologi,1501-6994,25-Mar-17,Journal not adhering to Best practice
Galemys : Spanish Journal of Mammalogy,1137-8700,25-Mar-17,Journal not adhering to Best practice
Iranian Journal of Neurology,2008-384X,25-Mar-17,Journal not adhering to Best practice
Intelligent Systems in Electrical Engineering,2251-6530,25-Mar-17,Journal not adhering to Best practice
Australasian Journal of Educational Technology,1449-5554,20-Mar-17,Journal not adhering to Best practice
Clinical Medicine & Research,1539-4182,25-Mar-17,Journal not adhering to Best practice
Journal of Inequalities and Special Functions,2217-4303,25-Mar-17,Journal not adhering to Best practice
Journal of Asia Pacific Studies,1948-0091,25-Mar-17,Journal not adhering to Best practice
The Journal of Nonlinear Sciences and its Applications,2008-1898,25-Mar-17,Journal not adhering to Best practice
Asian Journal of Conservation Biology ,2278-7666,25-Mar-17,Journal not adhering to Best practice
"Journal of Education Policy, Planning and Administration",2152-2804,25-Mar-17,Journal not adhering to Best practice
Nordisk MiljÃ¶rÃ_ttslig Tidskrift,2000-4273,25-Mar-17,Journal not adhering to Best practice
Philosophy for Business,2043-0736,25-Mar-17,Journal not adhering to Best practice
"Kairos : Journal of Rhetoric, Technology, and Pedagogy",1521-2300,25-Mar-17,Journal not adhering to Best practice
Arena : Journal of Physical Activities,2285-830X,25-Mar-17,Journal not adhering to Best practice
Journal of Science and Technology of Greenhouse Culture,2008-9082,25-Mar-17,Journal not adhering to Best practice
Archivos de PediatrÃ_a del Uruguayï»¿,0004-0584,23-Mar-17,Journal not adhering to Best practice
Eccos Revista CientÃ_fica,1517-1949,23-Mar-17,Journal not adhering to Best practice
Open Mechanical Engineering Journal,1874-155X,23-Mar-17,Suspected editorial misconduct by publisher
Open Sports Sciences Journal,1875-399X,23-Mar-17,Suspected editorial misconduct by publisher
Open Medical Imaging Journal,1874-3471,23-Mar-17,Suspected editorial misconduct by publisher
Open Plasma Physics Journal,1876-5343,23-Mar-17,Suspected editorial misconduct by publisher
Open Cardiovascular Medicine Journal,1874-1924,23-Mar-17,Suspected editorial misconduct by publisher
Open Forest Science Journal,1874-3986,23-Mar-17,Suspected editorial misconduct by publisher
Open Immunology Journal,1874-2262,23-Mar-17,Suspected editorial misconduct by publisher
Open Bioinformatics Journal,1875-0362,23-Mar-17,Suspected editorial misconduct by publisher
Open Ecology Journal,1874-2130,23-Mar-17,Suspected editorial misconduct by publisher
Open Otorhinolaryngology Journal,1874-4281,23-Mar-17,Suspected editorial misconduct by publisher
Open Microbiology Journal,1874-2858,23-Mar-17,Suspected editorial misconduct by publisher
Tesis PsicolÃ_gica,1909-8391,23-Mar-17,Journal not adhering to Best practice
Open Cybernetics and Systemics Journal,1874-110X,23-Mar-17,Suspected editorial misconduct by publisher
Open Orthopaedics Journal,1874-3250,23-Mar-17,Suspected editorial misconduct by publisher
Open Ornithology Journal,1874-4532,23-Mar-17,Suspected editorial misconduct by publisher
Open Dermatology Journal,1874-3722,23-Mar-17,Suspected editorial misconduct by publisher
Open Astronomy Journal,1874-3811,23-Mar-17,Suspected editorial misconduct by publisher
Open AIDS Journal,1874-6136,23-Mar-17,Suspected editorial misconduct by publisher
Open Catalysis Journal,1876-214X,23-Mar-17,Suspected editorial misconduct by publisher
Open Fuels and Energy Science Journal,1876-973X,23-Mar-17,Suspected editorial misconduct by publisher
Open Biomedical Engineering Journal,1874-1207,23-Mar-17,Suspected editorial misconduct by publisher
Open Medical Informatics Journal,1874-4311,23-Mar-17,Suspected editorial misconduct by publisher
Open Respiratory Medicine Journal,1874-3064,23-Mar-17,Suspected editorial misconduct by publisher
Open Dentistry Journal,1874-2106,23-Mar-17,Suspected editorial misconduct by publisher
Open Biochemistry Journal,1874-091X,23-Mar-17,Suspected editorial misconduct by publisher
Open Sleep Journal,1874-6209,23-Mar-17,Suspected editorial misconduct by publisher
Open Obesity Journal,1876-8237,23-Mar-17,Suspected editorial misconduct by publisher
Open Analytical Chemistry Journal,1874-0650,23-Mar-17,Suspected editorial misconduct by publisher
Open Neuroimaging Journal,1874-4400,23-Mar-17,Suspected editorial misconduct by publisher
Open Addiction Journal,1874-9410,23-Mar-17,Suspected editorial misconduct by publisher
Open Rheumatology Journal,1874-3129,23-Mar-17,Suspected editorial misconduct by publisher
Open Renewable Energy Journal,1876-3871,23-Mar-17,Suspected editorial misconduct by publisher
Open Psychology Journal,1874-3501,23-Mar-17,Suspected editorial misconduct by publisher
Open Sports Medicine Journal,1874-3870,23-Mar-17,Suspected editorial misconduct by publisher
Open Epidemiology Journal,1874-2971,23-Mar-17,Suspected editorial misconduct by publisher
Open Behavioral Science Journal,1874-2300,23-Mar-17,Suspected editorial misconduct by publisher
Open Atmospheric Science Journal,1874-2823,23-Mar-17,Suspected editorial misconduct by publisher
Open Pediatric Medicine Journal,1874-3099,23-Mar-17,Suspected editorial misconduct by publisher
Open Neurology Journal,1874-205X,23-Mar-17,Suspected editorial misconduct by publisher
Open Electrical & Electronic Engineering Journal,1874-1290,23-Mar-17,Suspected editorial misconduct by publisher
Open Cardiovascular and Thoracic Surgery Journal,1876-5335,23-Mar-17,Suspected editorial misconduct by publisher
Open Electrochemistry Journal ,1876-505X,23-Mar-17,Suspected editorial misconduct by publisher
Open Construction & Building Technology Journal,1874-8368,23-Mar-17,Suspected editorial misconduct by publisher
Open Civil Engineering Journal,1874-1495,23-Mar-17,Suspected editorial misconduct by publisher
Open Ophthalmology Journal,1874-3641,23-Mar-17,Suspected editorial misconduct by publisher
Open Fish Science Journal,1874-401X,23-Mar-17,Suspected editorial misconduct by publisher
Open Conference Proceedings Journal ,2210-2892,23-Mar-17,Suspected editorial misconduct by publisher
Ergonomics Open Journal,1875-9343,23-Mar-17,Suspected editorial misconduct by publisher
Open Nutrition Journal,1874-2882,23-Mar-17,Suspected editorial misconduct by publisher
Open Petroleum Engineering Journal,1874-8341,23-Mar-17,Suspected editorial misconduct by publisher
Open Environmental Engineering Journal,1874-8295,23-Mar-17,Suspected editorial misconduct by publisher
Open Pain Journal,1876-3863,23-Mar-17,Suspected editorial misconduct by publisher
Open Infectious Diseases Journal,1874-2793,23-Mar-17,Suspected editorial misconduct by publisher
Open Forensic Science Journal,1874-4028,23-Mar-17,Suspected editorial misconduct by publisher
Open Hydrology Journal,1874-3781,23-Mar-17,Suspected editorial misconduct by publisher
Open Materials Science Journal,1874-088X,23-Mar-17,Suspected editorial misconduct by publisher
Open Geography Journal ,1874-9232,23-Mar-17,Suspected editorial misconduct by publisher
Open Acoustics Journal,1874-8376,23-Mar-17,Suspected editorial misconduct by publisher
Open Energy and Fuels Journal,1874-2483,23-Mar-17,Suspected editorial misconduct by publisher
Open Colorectal Cancer Journal,1876-8202,23-Mar-17,Suspected editorial misconduct by publisher
Open Waste Management Journal,1876-4002,23-Mar-17,Suspected editorial misconduct by publisher
Clinical Practice and Epidemiology in Mental Health,1745-0179,23-Mar-17,Suspected editorial misconduct by publisher
Open Nutraceuticals Journal,1876-3960,23-Mar-17,Suspected editorial misconduct by publisher
Open Food Science Journal,1874-2564,23-Mar-17,Suspected editorial misconduct by publisher
Open Veterinary Science Journal,1874-3188,23-Mar-17,Suspected editorial misconduct by publisher
Open Urology & Nephrology Journal,1874-303X,23-Mar-17,Suspected editorial misconduct by publisher
Open Agriculture Journal,1874-3315,23-Mar-17,Suspected editorial misconduct by publisher
Open Breast Cancer Journal ,1876-8172,23-Mar-17,Suspected editorial misconduct by publisher
Open Rehabilitation Journal,1874-9437,23-Mar-17,Suspected editorial misconduct by publisher
Open Anesthesiology Journal,1874-3218,23-Mar-17,Suspected editorial misconduct by publisher
Open Public Health Journal,1874-9445,23-Mar-17,Suspected editorial misconduct by publisher
Open Virology Journal,1874-3579,23-Mar-17,Suspected editorial misconduct by publisher
OnLine Journal of Biological Sciences,1608-4217,22-Mar-17,Suspected editorial misconduct by publisher
American Journal of Agricultural and Biological Science,1557-4989,22-Mar-17,Suspected editorial misconduct by publisher
